"id" "lat" "long" "name" "date"
"85" 3086 39.940189 -75.166908 "Broad & Christian" "2015-06-10"
"86" 3095 39.987709 -75.180519 "29th & Diamond" "2016-04-28"
"87" 3115 39.97263 -75.167572 "19th & Girard, PTTI" "2016-05-04"
"88" 3104 39.96664 -75.192093 "34th & Mantua" "2016-05-03"
"89" 3103 39.977139 -75.179398 "27th & Master, Athletic Recreation Center" "2016-05-03"
"90" 3047 39.95071 -75.149208 "Independence Mall, NPS" "2015-04-23"
"91" 3124 39.95295 -75.139793 "Race Street Pier" "2016-03-31"
"92" 3038 39.947811 -75.194092 "The Children's Hospital of Philadelphia (CHOP)" "2015-04-23"
"93" 3099 39.93401 -75.15094 "4th & Washington" "2016-05-02"
"94" 3129 39.946812 -75.193108 "The Children's Hospital of Philadelphia, East Service Drive" "2016-05-24"
"95" 3036 39.968441 -75.140007 "2nd & Germantown" "2015-04-23"
"96" 3118 39.95866 -75.213226 "46th Street Station, MFL" "2016-04-25"
"97" 3040 39.962891 -75.166061 "17th & Spring Garden, Community College of Philadelphia" "2015-04-23"
"98" 3019 39.954029 -75.149834 "6th & Race" "2015-04-29"
"99" 3117 39.978409 -75.223991 "ParkWest Town Center" "2016-04-15"
"100" 3122 39.980621 -75.1735 "24th & Cecil B. Moore, Cecil B. Moore Library" "2016-04-27"
"101" 3119 39.96674 -75.207993 "42nd & Lancaster" "2016-04-25"
"102" 3017 39.98003 -75.143707 "6th & Berks" "2015-04-23"
"103" 3113 39.974689 -75.195618 "Philadelphia Zoo" "2016-05-06"
"104" 3067 39.964111 -75.19973 "39th & Mt. Vernon, Mantua Haverford Community Center" "2015-04-23"
"106" 3078 39.953548 -75.171921 "19th & Market" "2015-04-23"
